"","NEG1","NEG2","NEG3","NEG4","POS1","POS2","POS3","POS4"
"Gm35438",3.77703571942323,1.07185861818852,1.00036090460357,5.69819803861736,0,6.46108435877015,2.62574008643453,0
"5_8S_rRNA",20.1441905035906,10.7185861818852,5.00180452301787,7.9774772540643,3.3686230704275,5.53807230751727,5.25148017286906,6.05528648322922
"Gm4221",44.0654167266044,32.1557585456555,27.0097444242965,37.6081070548746,24.7032358498017,35.0744579476094,47.2633215558215,30.9492420253938
"Arhgap26",326.084083776872,360.144495711341,323.116572186954,444.459447012154,404.2347684513,383.050001269945,416.617427047612,304.782752989204
"Pcdha11",6.29505953237205,11.7904448000737,22.0079399012786,33.0495486239807,11.2287435680917,8.30710846127591,20.1306739959981,20.8570978866784
"Vault",1.25901190647441,1.07185861818852,1.00036090460357,5.69819803861736,1.12287435680917,0,0,0.672809609247692
"Snhg4",137.232297805711,241.168189092416,109.03933860179,133.337834103646,134.7449228171,245.521205633266,107.655343543816,104.285489433392
"Atp5o",1383.65408521538,1378.41018299043,884.319039669559,915.130605001948,1019.56991598272,1521.12386046474,1115.93953673467,804.680292660239
"Gcat",55.3965238848741,76.1019618913846,70.0252633222502,30.7702694085337,55.0208434836492,77.5330123052418,27.1326475598235,26.9123843699077
"Gm5468",0,0,0,1.13963960772347,0,0,0.875246695478176,2.01842882774307
"4930594M22Rik",8.81308334532087,15.0060206546392,9.00324814143216,5.69819803861736,12.3516179249008,2.76903615375864,16.6296872140854,9.41933452946768
"Gm5089",0,1.07185861818852,0,0,3.3686230704275,0,0,0.672809609247692
"Gm6740",0,0,0,0,0,0,0.875246695478176,0
"Nnt",35.2523333812835,19.2934551273933,15.0054135690536,22.7927921544694,17.9659897089467,15.6912048712989,26.2574008643453,26.9123843699077
"Gm36638",26.4392500359626,25.7246068365244,19.0068571874679,18.2342337235755,16.8431153521375,10.1531325637817,14.879193823129,17.49304984044
"mmu-mir-683-1",0,0,0,0,2.24574871361833,0,0,0
"Gm35558",73.0226905755158,102.898427346097,91.0328423189252,74.0765745020257,88.7070741879242,50.7656628189084,77.8969558975577,111.013585525869
"1700030C10Rik",41.5473929136555,65.3833757094994,51.0184061347823,75.2162141097491,67.37246140855,46.150602562644,24.5069074733889,74.0090570172461
"St6galnac2",253.061393201357,267.964654547129,174.062797401022,278.072064284527,256.01535335249,219.676868198185,282.704682639451,218.6631230055
"mmu-mir-451a",0,1.07185861818852,0,0,0,0,0,0
"Ddit3",1731.14137140231,2663.56866619846,1796.64818466802,1692.36481746936,1821.30220674447,2221.69000736568,1773.24980503879,1107.4446168217
"SNORA73",1.25901190647441,0,4.00144361841429,1.13963960772347,0,1.84602410250576,0.875246695478176,2.01842882774307
"Gm6729",0,1.07185861818852,0,0,0,0,0,0
"C730027H18Rik",1.25901190647441,0,1.00036090460357,1.13963960772347,4.49149742723667,0,0,4.70966726473384
"Gm16364",300.903845647384,221.874733965023,209.075429062147,222.229723506077,213.346127793742,284.287711785887,240.692841256498,175.603308013648
"SNORD16",17.6261666906417,40.7306274911636,18.0064962828643,33.0495486239807,20.211738422565,36.9204820501152,23.6316607779108,15.4746210126969
"Dpep2",0,0,2.00072180920715,1.13963960772347,2.24574871361833,0.923012051252879,0,2.01842882774307
"Nrg1",221.586095539496,168.281803055597,436.157354407158,304.283775262167,179.659897089467,136.605783585426,184.677052745895,263.741366825095
"Aldoa",25790.8589041283,27749.3477662825,26179.4448734755,25273.7875804834,25517.3197584883,31374.1026341366,23130.1444214018,22280.7630198466
"Gvin-ps1",10.0720952517953,34.2994757820325,45.0162407071608,28.4909901930868,67.37246140855,35.9974699988623,27.1326475598235,49.1151014750815
"Lhb",0,0,0,0,1.12287435680917,0,0,4.03685765548615
"Tmem147os",231.658190791292,225.090309819588,162.058466545779,170.945941158521,144.850792028383,151.373976405472,206.55822013285,152.727781299226
"Gm16499",16.3671547841673,8.57486894550812,16.0057744736572,17.0945941158521,17.9659897089467,23.9983133325749,14.0039471276508,14.1290017942015
"Fam220a",39.0293691007067,52.5210722912372,23.0083008058822,20.5135129390225,23.5803614929925,21.2292771788162,51.6395550332124,36.3317188993753
"U4",0,0,3.00108271381072,3.41891882317042,12.3516179249008,1.84602410250576,4.37623347739088,2.69123843699077
"Gm28710",12.5901190647441,11.7904448000737,5.00180452301787,10.2567564695112,8.98299485447333,19.3832530763105,6.12672686834723,4.70966726473384
"Pakap",11.3311071582697,23.5808896001473,16.0057744736572,36.4684674471511,32.5633563474658,8.30710846127591,15.7544405186072,22.8755267144215
"Gm13301",54.1375119783997,91.1079825460238,94.0339250327359,71.7972952865787,75.2325819062142,77.5330123052418,70.8949823337323,102.939870214897
"Metazoa_SRP",0,0,1.00036090460357,0,1.12287435680917,0,0.875246695478176,2.69123843699077
"Gm4430",258.097440827254,319.413868220178,274.098887861379,257.558551345505,241.417986713971,340.591446912312,173.298845704679,277.197559010049
"U1",10.0720952517953,12.8623034182622,8.00288723682859,19.373873331299,20.211738422565,7.38409641002303,10.5029603457381,17.49304984044
"SNORD62",3.77703571942323,4.28743447275406,2.00072180920715,3.41891882317042,8.98299485447333,9.23012051252879,6.12672686834723,11.4377633572108
"Snora43",0,2.14371723637703,0,0,0,0,0,0
"Ndor1",341.192226654565,467.330357530193,497.179369587976,433.063050934919,497.433340066461,391.357109731221,392.985766269701,399.648907893129
"U5",6.29505953237205,0,3.00108271381072,1.13963960772347,7.86012049766417,0.923012051252879,7.00197356382541,3.36404804623846
"mmu-mir-1194",1.25901190647441,0,0,0,0,0,0,0
"Gm16701",40.2883810071811,55.7366481458028,47.016962516368,47.8648635243858,50.5293460564125,74.7639761514832,38.5108546010398,76.0274858449891
"Y_RNA",0,0,0,1.13963960772347,4.49149742723667,2.76903615375864,0,0.672809609247692
"Zc3h11a",1408.83432334487,1336.60769688108,2207.79651646009,2158.47741702826,1837.0224477398,1304.21602842032,2153.98211757179,2834.54688376052
"Septin2",163.671547841673,242.240047710604,177.063880114833,217.671165075183,166.185404807757,159.681084866748,187.30279283233,217.990313396252
"U2",5.03604762589764,6.43115170913109,7.00252633222502,22.7927921544694,12.3516179249008,15.6912048712989,7.00197356382541,9.41933452946768
"5S_rRNA",64.2096072301949,81.4612549823272,59.0212933716108,83.1936913638134,96.5671946855883,48.9196387164026,70.8949823337323,82.7555819374661
"Ptp4a1",512.417845935085,556.294622839839,473.17070787749,575.518001900353,592.87766039524,560.268315110498,597.793493011594,553.049498801602
"7SK",702.528643812721,622.749857167527,380.137143749358,330.495486239807,435.675250441957,234.445061018231,421.868907220481,441.363103666486
"U6",81.8357739208367,116.832589382548,67.0241806084394,108.26576273373,104.427315183253,107.069397945334,111.156330325728,98.9030125594107
"Xkr4",44.0654167266044,45.0180619639176,63.0227369900251,49.0045031321093,61.7580896245042,50.7656628189084,76.1464625066013,74.0090570172461
"Gm37180",0,0,0,0,1.12287435680917,0,0,1.34561921849538
"Gm37363",0,0,0,0,0,0,0,0.672809609247692
"Gm37686",0,1.07185861818852,0,0,0,0,0,0
"Gm7341",0,0,0,0,0,0,0,0.672809609247692
"Gm38148",3.77703571942323,0,1.00036090460357,0,0,0,0,0
"Gm19938",3.77703571942323,1.07185861818852,4.00144361841429,1.13963960772347,3.3686230704275,0.923012051252879,5.25148017286906,2.01842882774307
"Rp1",1.25901190647441,1.07185861818852,8.00288723682859,1.13963960772347,0,0,0,0
"Sox17",6.29505953237205,3.21557585456555,1.00036090460357,12.5360356849582,17.9659897089467,0,8.75246695478176,4.03685765548615
"Gm7357",2.51802381294882,2.14371723637703,3.00108271381072,0,0,2.76903615375864,0,0
"Gm37323",5.03604762589764,0,0,2.27927921544694,3.3686230704275,0,0,0
"Gm7369",0,0,1.00036090460357,1.13963960772347,1.12287435680917,1.84602410250576,1.75049339095635,0
"Gm6085",1.25901190647441,10.7185861818852,5.00180452301787,5.69819803861736,17.9659897089467,12.9221687175403,3.50098678191271,8.74652492021999
"Gm6119",0,10.7185861818852,4.00144361841429,1.13963960772347,0,0,3.50098678191271,0.672809609247692
"Gm2053",7.55407143884646,0,0,0,0,0.923012051252879,0,0
"Gm6123",17.6261666906417,12.8623034182622,9.00324814143216,17.0945941158521,8.98299485447333,17.5372289738047,15.7544405186072,10.0921441387154
"Mrpl15",1502.00120442397,1199.40979375295,1095.39519054091,940.202676371864,1170.03507979515,1599.57988482124,1289.23838243935,1341.5823608399
"Gm37144",1.25901190647441,4.28743447275406,3.00108271381072,1.13963960772347,3.3686230704275,0.923012051252879,0.875246695478176,7.40090570172461
"Lypla1",2176.83158629426,2186.59158110457,1867.67380889487,1873.56751509739,1906.64065786197,2046.31771762763,2501.45505567663,2312.44662698432
"Tcea1",2009.38300273316,1985.08216088513,1483.5352215271,1645.63959355269,1677.5742890729,1930.94121122102,2382.4215050916,2126.07836522271
"Gm6104",0,0,2.00072180920715,0,0,0.923012051252879,0,0
"Gm37277",12.5901190647441,4.28743447275406,7.00252633222502,4.55855843089389,7.86012049766417,1.84602410250576,1.75049339095635,1.34561921849538
"Rgs20",90.6488572661575,65.3833757094994,86.0310377959073,70.6576556788553,57.2665921972675,71.9949399977246,45.5128281648652,53.1519591305676
"Atp6v1h",3421.99436179745,4074.13460773455,3285.18521071814,3210.36477495702,3479.78763175161,3805.57868731562,3395.08193175985,3265.8178432883
"Npbwr1",0,3.21557585456555,0,0,0,0,0,0
"Rb1cc1",5091.44414978252,4910.18432992159,4990.80055306723,4853.72508929427,4449.95107603473,3665.28085552518,5387.14341066818,5740.4115861013
"4732440D04Rik",44.0654167266044,57.8803653821798,56.0202106578001,77.4954933251961,51.6522204132217,38.7665061526209,64.7682554653851,48.4422918658338
"Gm2147",0,0,1.00036090460357,0,1.12287435680917,0,0,0.672809609247692
"Gm7417",0,0,1.00036090460357,0,0,0,0,0
"Gm19026",0,6.43115170913109,6.00216542762144,4.55855843089389,3.3686230704275,0,1.75049339095635,7.40090570172461
"St18",6.29505953237205,2.14371723637703,0,4.55855843089389,4.49149742723667,0.923012051252879,11.3782070412163,1.34561921849538
"Gm37108",8.81308334532087,7.50301032731961,8.00288723682859,5.69819803861736,4.49149742723667,7.38409641002303,4.37623347739088,4.03685765548615
"Pcmtd1",4016.24798165337,3324.90543362077,4115.4847615391,4126.63501956669,3933.42887190251,2824.41687683381,3990.24968468501,4133.06942960857
"Gm38372",50.3604762589764,55.7366481458028,97.0350077465466,99.1486458719421,98.8129433992067,70.1489158952188,123.409784062423,156.764638954712
"Gm9826",0,1.07185861818852,3.00108271381072,3.41891882317042,2.24574871361833,2.76903615375864,0.875246695478176,0.672809609247692
"Gm26901",0,0,14.00505266445,4.55855843089389,5.61437178404583,8.30710846127591,3.50098678191271,6.72809609247692
"Rps2-ps2",0,0,0,0,0,0,0.875246695478176,0.672809609247692
"Sntg1",120.865143021543,37.515051636598,56.0202106578001,52.4234219552797,30.3176076338475,51.6886748701612,61.2672686834723,50.4607206935769
"Gm16284",0,0,1.00036090460357,3.41891882317042,1.12287435680917,2.76903615375864,0,0.672809609247692
"Gm38259",2.51802381294882,0,0,0,2.24574871361833,0,0,0
