"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Lmntd2",2.89618582374837,1.85698288989344e-06,0.00144269523980073,0.00166088723846891,0.256883892883191
"Igkc",8.92887460163425,2.87835697624817,1.55294614765976,0.00168805472094353,0.259207481754091
"Snorc",3.32685385459344,1.68125833888171e-06,0.00144269523475761,0.00170725418480534,0.260283095146323
"Tacstd2",37.4578643642828,2.55829248859428,1.68987634288014,0.00177313570925735,0.266519778721048
"Wwc1",38.9486432242328,1.23294280434629,0.727503661711798,0.00176457967293923,0.266519778721048
"Lsr",58.6016454289483,1.11009870562886,0.659913115340377,0.00182625969605358,0.272585223444529
"Vstm2b",198.291430425669,0.374408301615536,0.220882094894824,0.00186207887926693,0.27600146943801
"Mir6236",712.127672480475,-1.11558845889729e-05,0.00144269922346785,0.00188146231811937,0.276951253227171
"Wnt2b",278.533078576524,-1.88630852888124e-05,0.00144270572516112,0.00194384871063303,0.283134719088833
"Marveld2",10.1583513208369,1.89996600947675,1.11100965970392,0.00195000017363467,0.283134719088833
"Lilr4b",51.0403321048625,1.05476568699512,0.646854745609327,0.00197120766771969,0.284280111214926
"Lgr6",53.6717802912826,1.07781528301747,0.672761077487596,0.00203485658763209,0.290097518681547
"Tgfa",29.2356304736261,0.904007064021072,0.564199534709868,0.00209451892182851,0.290097518681547
"Chst5",13.6261745267423,-4.32204899037226e-06,0.00144269581128869,0.00210668644095014,0.290097518681547
"Rnf43",10.0056472466754,1.82806808892134,1.10365688617766,0.00206046762736769,0.290097518681547
"Dnajb9",7918.51447913961,0.297371485339211,0.1831271506496,0.00209930913845692,0.290097518681547
"Lcp1",160.632027172043,0.692224017315527,0.432327585951212,0.00208229983800885,0.290097518681547
"Slc44a4",10.4063195828495,2.07727549996535,1.23711374478447,0.00204375559804032,0.290097518681547
"Uox",729.398748759132,-0.319095618899137,0.202650325481005,0.00217928355359185,0.293039396729834
"4930578M01Rik",17.2236755926095,-7.14397046513774e-06,0.00144269653610982,0.0021966971269103,0.293039396729834
"Muc20",10.1568821604029,2.2868208419189,1.42055598712585,0.00217319200378383,0.293039396729834
"Nexmif",92.0705658181143,0.94727875770088,0.608114324513165,0.00219430810840419,0.293039396729834
"Gm21860",37.9743676908232,0.900473184401053,0.568525033952696,0.00214920857023704,0.293039396729834
"Muc15",33.4540345589741,9.13694845339042e-07,0.00144269514135737,0.00224162213705632,0.297175049026894
"Fxyd2",72.8869734016581,0.752294241150226,0.487153120415449,0.00226040106586078,0.297814816973658
"Rergl",23.7647281641763,1.2278582229065,0.817634794902883,0.0023179369540233,0.303521756728057
"Spint1",30.1686284359442,1.30504758207553,0.888772688865317,0.00237268420446675,0.304888722140165
"Gm8325",82.6265801708647,0.701669625315377,0.463724438147789,0.00239979878746007,0.304888722140165
"Gjb3",312.738757433707,-0.362265892662972,0.240913039190459,0.00238038663202522,0.304888722140165
"Glipr1",2172.95300187948,-0.246657845684734,0.159526018132594,0.00238626614007547,0.304888722140165
"Gm8741",13.6492138690712,1.15574537894044,0.723326221154067,0.00235564184733529,0.304888722140165
"Klc3",47.2189966285998,0.681848193235985,0.4571340805812,0.00245476479860245,0.308350328595087
"Grb7",10.6443721820166,1.49267749403588,0.960458544452002,0.00245593871163628,0.308350328595087
"Aoc1",22.6184528512085,2.56730183090406,2.19993227512376,0.00251600633979757,0.311910643352519
"Myod1",65.0887117845263,-8.87928395042217e-06,0.00144269704852494,0.00254274980993901,0.311910643352519
"Ggt1",25.6673511248785,2.21295390994358,1.80729940362089,0.0025389950646242,0.311910643352519
"Adamts5",54010.1836490635,-0.245061710219405,0.15175812933136,0.00252719990323492,0.311910643352519
"Itm2a",20217.1321868049,1.81148624065455e-05,0.00144270253083191,0.00257276134835327,0.313788675538583
"Syt5",293.656876311099,-1.72333289052891e-05,0.00144270131987351,0.00263584572921392,0.319656200251942
"Bin2",11.8500773133084,1.23229403070372,0.827926483768603,0.00269246651813665,0.324677996401744
"Prom2",50.1837567545311,2.04241799140644,1.87698202260846,0.00275194542812104,0.328968229939705
"Pdgfc",3538.45738067881,-0.284859895563898,0.206562683965273,0.00277428229896677,0.328968229939705
"Clec10a",13.6769773467202,1.33797298487318,0.937101695996144,0.00276577355341157,0.328968229939705
"Zfp750",7.67418864284543,2.5489141117995,1.66939541751354,0.00280618946357137,0.330913303372748
"Lars2",10649.4985648315,-0.395496632244951,0.292018114842102,0.00283057751275026,0.331955200176602
"Large2",21.1899589025418,1.07383285864664,0.802962130369411,0.00285598572018918,0.333104695145999
"Mb",31.4663275935909,-6.63369781883777e-06,0.00144269609380073,0.00288227307946493,0.334343677217932
"Ston2",5825.43807234059,-2.56595449766193e-05,0.00144270621869337,0.00296487102723156,0.342065984893138
"Mtfr1",1272.48502725978,0.189100004919149,0.144066435681386,0.00304827211854202,0.348664958128378
"Stab2",72.7516129017742,0.565454214285128,0.430707014627702,0.00305473890414199,0.348664958128378
"Macrod2",421.692234358405,-0.294380831973757,0.236223717888068,0.00312094486664078,0.354326846987132
"Lypd6",45.1236957146163,-8.3671692865884e-06,0.00144269627996058,0.00315173755711523,0.355929557772844
"Lratd1",21.1617364828629,1.11645459922138,0.915637009343008,0.003239164977725,0.363877564655592
"Prg4",7565.18515815246,-0.324230611629991,0.259712500137893,0.00328134772229087,0.366686313008253
"Gfi1",4.17375910388489,-2.72154172703796e-06,0.00144269536190315,0.00337491073229143,0.375177576406398
"Pdzd7",60.1214350974619,0.469125610291227,0.388846544666269,0.00343352437902399,0.379715773812892
"Rps12-ps4",41.926817082948,0.751389719153991,0.655755393200325,0.00347582361608926,0.380451175701585
"Tmem30b",787.790592053303,-2.18874892094081e-05,0.00144270062323757,0.00347008805726547,0.380451175701585
"Aldoc",23.9692564661801,1.921543105798e-06,0.00144269527051171,0.00358814714184717,0.390741900997888
"Piezo2",5844.85340586603,-0.307355086279903,0.273261363559137,0.00360979117775153,0.391103466486948
"Smim31",2.82148748960412,1.5175028853021e-06,0.00144269515762505,0.00364919977205973,0.393376363307287
"Gm32014",5.21541697895841,2.43467087378503,1.5759748811909,0.00370103638271721,0.396959399762393
"Ehf",35.5973259974705,1.49162032332722,3.75191337701981,0.00375485498661842,0.3987245016636
"Lpl",29918.3223504725,0.19658956656826,0.165367658342957,0.0037517948266692,0.3987245016636
"Jag1",15097.436773211,-0.219936018300499,0.217989511407666,0.00382901493175622,0.403819437590175
"Arfgef3",84.9461761960057,0.434169765625962,0.422556175824024,0.00384067399881959,0.403819437590175
"Ptprc",67.7830460519012,0.818306536729669,0.894455390625316,0.003899889667633,0.40803551502921
"Pkp1",24.2776079289462,1.22975389192509,1.51970543920805,0.00396963280728372,0.413065235292233
"Gm8066",345.623439880895,-1.17086328080758e-05,0.00144268852823927,0.0040060206008945,0.413065235292233
"Il17re",11.5686538094557,1.67553029803003,2.0609567136944,0.00399017193314157,0.413065235292233
"Prss16",2.92576723183648,2.21019692729801e-06,0.00144269512368701,0.00404503047276681,0.415082357743917
"5930430L01Rik",125.448851332109,-0.373481876836564,0.419278641543819,0.00408857256064296,0.417543027437145
"C3ar1",36.6807847278365,0.941993351779902,1.39092868123536,0.00418431259455597,0.425285561991441
"Ddc",165.973178392341,-0.381922990728302,0.483717706929468,0.00420668987011547,0.425533595202581
"Gm13021",5.69863488756168,1.57533197242808,1.29139749090431,0.00429380321257122,0.429401463368038
"Chaserr",1583.947842644,-2.53166712348566e-05,0.00144269735869919,0.00432539892354424,0.429401463368038
"Tmprss13",18.87805683162,1.01825464183668,1.59867716397556,0.00430282382127087,0.429401463368038
"Lbx1",30.7570547223647,-7.28977741750715e-06,0.00144269542054747,0.004309930846652,0.429401463368038
"Gm31410",19.4485916814935,0.725417658732445,0.815969856305994,0.00436792685694099,0.431252166728537
"Stard4",566.37411469931,-2.16111462609104e-05,0.0014426965422435,0.00438445090798784,0.431252166728537
