"","NEG1","NEG2","NEG3","NEG4","POS1","POS2","POS3","POS4"
"Gm35438",3,1,1,5,0,7,3,0
"5_8S_rRNA",16,10,5,7,3,6,6,9
"Gm4221",35,30,27,33,22,38,54,46
"Arhgap26",259,336,323,390,360,415,476,453
"Pcdha11",5,11,22,29,10,9,23,31
"Vault",1,1,1,5,1,0,0,1
"Snhg4",109,225,109,117,120,266,123,155
"Atp5o",1099,1286,884,803,908,1648,1275,1196
"Gcat",44,71,70,27,49,84,31,40
"Gm5468",0,0,0,1,0,0,1,3
"4930594M22Rik",7,14,9,5,11,3,19,14
"Gm5089",0,1,0,0,3,0,0,1
"Gm6740",0,0,0,0,0,0,1,0
"Nnt",28,18,15,20,16,17,30,40
"Gm36638",21,24,19,16,15,11,17,26
"mmu-mir-683-1",0,0,0,0,2,0,0,0
"Gm35558",58,96,91,65,79,55,89,165
"1700030C10Rik",33,61,51,66,60,50,28,110
"St6galnac2",201,250,174,244,228,238,323,325
"mmu-mir-451a",0,1,0,0,0,0,0,0
"Ddit3",1375,2485,1796,1485,1622,2407,2026,1646
"SNORA73",1,0,4,1,0,2,1,3
"Gm6729",0,1,0,0,0,0,0,0
"C730027H18Rik",1,0,1,1,4,0,0,7
"Gm16364",239,207,209,195,190,308,275,261
"SNORD16",14,38,18,29,18,40,27,23
"Dpep2",0,0,2,1,2,1,0,3
"Nrg1",176,157,436,267,160,148,211,392
"Aldoa",20485,25889,26170,22177,22725,33991,26427,33116
"Gvin-ps1",8,32,45,25,60,39,31,73
"Lhb",0,0,0,0,1,0,0,6
"Tmem147os",184,210,162,150,129,164,236,227
"Gm16499",13,8,16,15,16,26,16,21
"Fam220a",31,49,23,18,21,23,59,54
"U4",0,0,3,3,11,2,5,4
"Gm28710",10,11,5,9,8,21,7,7
"Pakap",9,22,16,32,29,9,18,34
"Gm13301",43,85,94,63,67,84,81,153
"Metazoa_SRP",0,0,1,0,1,0,1,4
"Gm4430",205,298,274,226,215,369,198,412
"U1",8,12,8,17,18,8,12,26
"SNORD62",3,4,2,3,8,10,7,17
"Snora43",0,2,0,0,0,0,0,0
"Ndor1",271,436,497,380,443,424,449,594
"U5",5,0,3,1,7,1,8,5
"mmu-mir-1194",1,0,0,0,0,0,0,0
"Gm16701",32,52,47,42,45,81,44,113
"Y_RNA",0,0,0,1,4,3,0,1
"Zc3h11a",1119,1247,2207,1894,1636,1413,2461,4213
"Septin2",130,226,177,191,148,173,214,324
"U2",4,6,7,20,11,17,8,14
"5S_rRNA",51,76,59,73,86,53,81,123
"Ptp4a1",407,519,473,505,528,607,683,822
"7SK",558,581,380,290,388,254,482,656
"U6",65,109,67,95,93,116,127,147
"Xkr4",35,42,63,43,55,55,87,110
"Gm37180",0,0,0,0,1,0,0,2
"Gm37363",0,0,0,0,0,0,0,1
"Gm37686",0,1,0,0,0,0,0,0
"Gm7341",0,0,0,0,0,0,0,1
"Gm38148",3,0,1,0,0,0,0,0
"Gm19938",3,1,4,1,3,1,6,3
"Rp1",1,1,8,1,0,0,0,0
"Sox17",5,3,1,11,16,0,10,6
"Gm7357",2,2,3,0,0,3,0,0
"Gm37323",4,0,0,2,3,0,0,0
"Gm7369",0,0,1,1,1,2,2,0
"Gm6085",1,10,5,5,16,14,4,13
"Gm6119",0,10,4,1,0,0,4,1
"Gm2053",6,0,0,0,0,1,0,0
"Gm6123",14,12,9,15,8,19,18,15
"Mrpl15",1193,1119,1095,825,1042,1733,1473,1994
"Gm37144",1,4,3,1,3,1,1,11
"Lypla1",1729,2040,1867,1644,1698,2217,2858,3437
"Tcea1",1596,1852,1483,1444,1494,2092,2722,3160
"Gm6104",0,0,2,0,0,1,0,0
"Gm37277",10,4,7,4,7,2,2,2
"Rgs20",72,61,86,62,51,78,52,79
"Atp6v1h",2718,3801,3284,2817,3099,4123,3879,4854
"Npbwr1",0,3,0,0,0,0,0,0
"Rb1cc1",4044,4581,4989,4259,3963,3971,6155,8532
"4732440D04Rik",35,54,56,68,46,42,74,72
"Gm2147",0,0,1,0,1,0,0,1
"Gm7417",0,0,1,0,0,0,0,0
"Gm19026",0,6,6,4,3,0,2,11
"St18",5,2,0,4,4,1,13,2
"Gm37108",7,7,8,5,4,8,5,6
"Pcmtd1",3190,3102,4114,3621,3503,3060,4559,6143
"Gm38372",40,52,97,87,88,76,141,233
"Gm9826",0,1,3,3,2,3,1,1
"Gm26901",0,0,14,4,5,9,4,10
"Rps2-ps2",0,0,0,0,0,0,1,1
"Sntg1",96,35,56,46,27,56,70,75
"Gm16284",0,0,1,3,1,3,0,1
"Gm38259",2,0,0,0,2,0,0,0
"Gm37005",0,0,0,1,0,0,0,0
"Gm15452",0,2,0,0,1,0,1,2
"Gm36964",4,3,1,2,0,2,2,3
"Gm37629",6,0,0,0,0,0,0,1
"Gm6187",0,0,2,0,1,0,0,0
"Gm18300",6,1,2,1,4,0,2,0
"Rrs1",1338,1665,1713,1241,1373,2201,1625,2995
"Adhfe1",398,253,458,233,318,338,546,505
"2610203C22Rik",123,106,123,89,124,129,155,177
"Gm6161",1,1,2,2,2,2,3,3
"Vxn",7,8,3,5,2,5,6,1
"Mybl1",193,182,218,209,234,185,328,346
"Vcpip1",2030,1982,2858,2407,2226,2377,2901,4423
"1700034P13Rik",0,1,6,3,2,0,2,2
"Sgk3",666,757,753,694,626,797,1143,1392
"Gm6195",6,2,0,1,1,4,1,1
"Mcmdc2",10,4,9,3,5,6,18,8
"Snhg6",754,827,529,501,596,1116,733,747
"Snord87",9,6,4,2,1,6,4,4
"Tcf24",377,443,378,331,289,504,594,741
"E330040D14Rik",10,8,4,1,1,15,10,9
"Ppp1r42",0,2,1,2,1,1,2,3
"Cops5",2464,2712,2484,2263,2416,3599,3354,3923
"Cspp1",1235,1554,1595,1601,1484,1651,2057,2884
"Arfgef1",3742,4574,6227,5296,5107,5602,6553,9600
"Gm37569",3,4,3,3,0,0,7,7
"Cpa6",0,0,2,0,0,6,0,0
"Gm15604",1,2,1,2,3,1,4,2
"Gm28659",1,5,2,1,0,1,0,3
"Prex2",353,593,321,328,369,827,1073,2234
"A830018L16Rik",0,0,0,0,2,0,1,4
"Gm2383",1,1,3,1,1,1,0,0
"Sulf1",36847,38720,51366,47809,37267,37042,46598,68923
"Slco5a1",192,572,489,413,342,585,330,1103
"Prdm14",0,1,0,0,2,0,5,0
"Ncoa2",3712,3920,6227,5247,4629,4344,6522,8443
"Gm38376",14,9,9,7,7,10,4,8
"Gm37409",7,2,0,0,4,4,0,14
"Gm38223",3,0,3,0,2,0,0,2
"Gm37702",8,4,0,6,4,0,5,9
"Gm23169",0,1,1,1,3,0,0,0
"Gm38120",26,7,6,5,17,7,8,25
"Gm38380",6,9,4,6,5,0,7,15
"Gm29570",0,0,1,0,0,0,0,1
"Gm7593",2,0,0,0,0,0,0,2
"Tram1",9936,10709,13047,10646,10741,14307,13079,18706
"Lactb2",1010,1095,1284,1056,1132,1249,1870,2063
"Gm38319",4,11,8,6,1,0,2,17
"Xkr9",0,0,0,0,0,0,3,1
"Gm5523",0,2,1,7,3,3,4,4
"Eya1",15,25,26,19,14,6,31,22
"Gm9947",141,106,151,135,149,142,218,296
"Msc",594,651,603,558,704,843,937,1232
"Gm37412",18,25,21,11,21,17,21,34
"Smt3h2-ps4",0,0,0,1,0,0,0,0
"Rpl5-ps1",4,5,4,2,2,5,3,0
"Trpa1",0,0,1,0,0,0,0,0
"Gm10566",0,0,0,0,0,1,0,0
"Kcnb2",1,0,1,0,4,0,2,2
"Gm38116",0,0,0,0,0,0,3,0
"Gm6060",0,0,0,0,1,1,0,0
"Terf1",509,660,654,496,557,737,724,936
"Gm37509",8,12,8,9,9,9,9,10
"Sbspon",73,93,26,66,44,68,119,65
"Gm7634",3,1,1,0,0,0,0,0
"4930444P10Rik",2,3,0,0,0,0,0,0
"Rpl7",28541,31000,22214,19620,21334,35083,36166,32574
"Rdh10",3512,4567,4670,5010,4937,6942,4816,6677
"Gm38249",0,2,0,1,0,0,0,0
"Stau2",922,908,1076,828,970,1261,1334,1592
"Ube2w",3014,2862,3110,2797,2922,4050,4119,4963
"Gm38342",25,25,12,18,23,26,20,42
"Eloc",2713,3351,2613,2513,2710,4110,4198,3902
"D030040B21Rik",0,0,0,0,1,0,0,1
"Tmem70",1293,1270,1194,1077,1200,1699,1806,2118
"Ly96",331,305,370,320,337,542,412,438
"Gm5828",0,3,2,2,0,2,0,2
"Jph1",173,95,94,97,73,74,188,107
"Gdap1",30,21,12,26,16,37,35,30
"Rbm6-ps1",2,3,6,7,6,7,8,21
"Gm6075",0,1,1,0,0,0,0,1
"Pi15",5043,4685,3968,4522,3720,3784,8662,8301
"Gm28154",29,23,16,25,15,6,37,17
"Gm16070",22,11,8,14,10,2,33,30
"Crispld1",3401,1983,1489,1592,1410,1258,5440,2495
"Gm28153",0,0,2,0,0,4,3,0
"Gm7690",0,0,0,1,1,0,1,0
"Gm17837",0,0,2,0,0,1,0,0
"Gm10075",2,0,0,0,0,0,0,0
"Tfap2b",5,0,8,22,106,41,1,33
"Gm4849",5,2,1,1,0,0,3,8
"Pkhd1",6,0,2,4,0,10,0,0
"Gm15795",3,1,1,0,1,0,0,1
"Gm28653",7,0,0,0,0,1,1,0
"Il17f",2,2,0,0,0,0,1,1
"Mcm3",539,881,945,797,748,1108,878,1328
"6720483E21Rik",4,3,1,3,0,3,4,6
"Paqr8",226,257,293,284,243,227,303,400
"Gm28064",0,0,0,0,0,0,4,3
"Efhc1",386,325,350,375,336,328,439,637
"Tram2",4228,5581,8323,5888,6739,7903,6130,11134
"Gm28287",0,0,0,0,1,0,0,0
"Gm2693",6,4,4,6,5,9,13,6
"Tmem14a",305,263,260,254,243,318,401,361
"Gm38224",0,0,1,0,0,1,0,0
"Gsta3",47,34,40,39,29,45,66,28
"Gm28836",4,4,0,0,0,2,1,1
"Gm7094",0,3,2,0,2,1,3,1
"Kcnq5",69,72,111,76,117,94,220,109
"Gm36949",0,0,0,0,0,1,0,0
"Gm7658",16,21,11,6,12,24,17,32
"Gm38243",0,0,0,1,0,0,0,0
"Rims1",10,16,4,3,1,12,12,21
"Ppp1r14bl",0,1,0,0,0,0,0,1
"Mir30a",0,2,0,0,2,0,0,1
"Gm27028",4,7,3,7,8,5,13,7
"Gm29107",0,0,0,0,1,0,0,1
"Ogfrl1",432,570,534,434,481,479,624,856
"Gm7784",1,2,0,3,0,3,1,3
"B3gat2",1,2,3,2,1,2,5,6
"Smap1",4553,5117,5931,4910,5009,6693,5941,7982
"Sdhaf4",442,397,298,278,316,542,511,404
"Fam135a",1162,1099,1572,1481,1245,1254,2030,2378
"Gm37580",0,1,0,1,0,4,1,2
"Col9a1",1,3,1,5,13,7,8,10
"Col19a1",15,19,21,23,11,4,25,21
"Tubb4b-ps2",2,1,1,1,0,3,0,4
"Gm28439",2,0,3,0,2,2,2,2
"Gm10222",0,0,0,0,1,0,1,1
"Gm28438",0,1,0,0,1,1,1,0
"Gm28437",4,3,4,5,4,2,3,5
"Gm10925",3,2,9,8,3,13,12,11
"Gm28661",4,3,6,1,3,7,6,7
"Gm29216",4,1,6,2,5,3,4,7
"Lmbrd1",4234,4087,4832,4224,3875,4635,6041,6900
"Gm9443",0,0,0,0,1,0,0,0
"Adgrb3",102,171,246,183,217,164,324,467
"Gm15702",0,0,0,0,0,0,1,0
"Gm37543",0,0,1,0,0,0,0,2
"Gm37331",0,1,0,0,5,3,0,3
"Gm37211",0,0,0,0,2,0,0,2
"Gm37862",1,0,1,0,1,0,1,0
"Gm38286",0,1,0,0,0,0,0,0
"Gm37880",2,1,1,0,0,0,0,1
"Gm37011",0,0,0,0,3,0,3,0
"Gm29214",0,0,0,0,0,0,2,0
"Gm37051",0,0,0,0,1,0,0,0
"Gm38260",0,0,1,0,0,0,0,1
"Gm37628",2,4,0,3,1,2,3,4
"8030445P17Rik",0,3,0,1,2,0,2,3
"Gm38198",0,0,0,1,4,0,1,5
"Gm37077",0,1,1,0,2,0,4,3
"Gm37895",1,2,0,1,2,0,0,1
"Gm36952",0,0,1,2,3,4,2,6
"Gm37602",3,0,0,0,7,0,0,0
"2900022M07Rik",0,0,0,0,1,0,3,0
"Gm19028",1,0,0,1,1,0,2,1
"Gm7846",8,12,3,9,8,6,6,10
"Gm5697",0,0,0,2,0,0,0,1
"Gm5525",22,14,17,9,13,27,28,26
"Gm7858",0,3,0,1,0,0,1,1
"Gm6473",4,1,1,1,0,0,0,4
"Gm2914",0,0,0,1,0,0,0,0
"Phf3",3978,5012,5960,5054,4824,5380,6919,9670
"Gm37522",1,7,4,0,11,2,9,7
"Gm37906",12,7,8,12,7,2,6,14
"Gm7893",0,0,0,0,0,1,0,0
"Eef1a1-ps2",0,1,0,0,0,0,1,0
"Gm19680",4,1,5,9,1,4,10,2
"Gm7114",6,9,1,4,2,2,1,2
"Gm7933",0,0,0,0,0,0,1,0
"Prim2",597,609,591,575,544,724,901,1018
"Gm29228",1,5,0,2,2,7,1,1
"Gm37618",0,5,0,3,0,0,4,1
"1700001G17Rik",17,12,13,15,3,16,26,19
"Gm38173",0,0,2,0,0,0,0,0
"Rab23",2609,2245,3164,2449,2681,3120,3396,4702
"Bag2",293,352,357,266,292,372,469,512
"Zfp451",2517,2711,3256,2928,2992,3218,3602,5803
"Gm15455",1,3,3,5,7,5,5,8
"Bend6",592,653,665,602,498,668,699,937
"Gm37067",0,8,2,13,5,1,9,5
"Dst",22282,28413,39810,37099,32188,27961,37767,66663
"Gm37354",1,8,2,2,2,3,2,7
"Gm38157",88,76,50,27,60,52,31,42
"Mir6896",0,0,0,0,0,0,0,1
"Gm26788",0,0,0,0,0,0,1,0
"A930005N03Rik",0,0,0,0,0,1,1,0
"Gm3052",12,25,26,35,16,32,23,36
"Gm37233",76,114,120,163,151,110,188,301
"Ccdc115",529,624,513,489,598,791,734,913
"Imp4",1366,1749,1795,1441,1453,2043,1961,2669
"Ptpn18",9,8,5,13,57,13,27,16
"Gm28417",0,0,0,0,0,1,5,0
"4930568A12Rik",2,2,2,2,1,5,3,0
"Arhgef4",51,85,40,71,53,68,93,97
"Gm38336",17,21,18,21,18,21,24,15
"Fam168b",10467,12187,15417,12731,12560,14329,15115,21565
"Plekhb2",2401,2223,3430,3186,2843,2895,3193,4022
"Gm8009",2,1,0,0,0,0,2,0
"1110002O04Rik",1,2,0,5,3,0,8,2
"Gm33222",0,0,0,0,1,0,0,0
"Hs6st1",2466,2991,4376,3573,3437,4550,3901,5224
"Gm37335",0,0,2,1,1,1,0,0
"Gm33280",0,0,0,2,2,0,3,5
"Uggt1",9099,11244,15522,13363,11975,14391,13097,23156
"Neurl3",428,355,456,304,326,310,706,325
"Arid5a",8106,13814,12614,14049,12965,17725,19578,13653
"4930403P22Rik",12,7,3,4,7,10,6,3
"Kansl3",3747,5055,5791,4753,4784,5095,5853,7318
"Fer1l5",0,0,0,0,1,1,1,0
"Lman2l",1456,1291,1529,1375,1256,1531,1632,2243
"Cnnm4",1084,1646,1714,1537,1217,1532,1623,1703
"Gm37909",7,14,9,10,8,4,5,19
"Cnnm3",2371,2104,2773,2026,2403,2235,2659,3260
"Gm38033",0,2,0,1,1,0,1,2
"Ankrd23",27,32,40,33,43,44,38,49
"Ankrd39",398,512,434,335,449,416,547,611
"Sema4c",5313,7418,7864,6563,6693,7485,8302,9505
"D430040D24Rik",238,296,253,243,215,268,309,365
"Fam178b",93,90,53,67,62,78,85,90
"Gm6428",0,0,1,0,2,2,0,0
"Cox5b",2418,3017,2249,1857,2274,4178,3291,3481
"Actr1b",5822,7688,8951,7943,8187,10480,8530,12516
"4933424G06Rik",0,3,4,5,4,2,19,5
"Zap70",8,4,2,1,7,5,2,11
"Tmem131",7427,8158,13425,11396,10082,11875,13552,20035
"Gm37506",3,0,0,1,0,1,1,0
"Gm38115",6,8,3,1,9,0,3,4
"F830112A20Rik",6,13,4,2,10,0,8,4
"Rpl12-ps1",1,1,4,4,1,4,10,4
"Vwa3b",66,91,70,73,52,78,108,99
"Cnga3",0,0,0,1,0,0,1,0
"Inpp4a",1647,2038,2135,1773,1703,1733,2106,2793
"Coa5",4449,4510,6230,4977,5040,6173,6094,8275
"Unc50",1947,1811,1932,1734,1952,2551,2701,3280
"Mgat4a",885,1346,1525,1508,1330,1375,1657,2332
"4930594C11Rik",5,8,3,1,1,0,0,1
"Gm43213",1,0,0,0,0,0,0,3
"Cracdl",24,22,27,32,39,46,27,31
"Tsga10",495,431,470,411,427,441,731,773
"Gm26805",1,0,1,3,0,0,0,0
"Lipt1",75,46,69,46,40,46,59,83
"Mitd1",558,565,526,483,504,797,826,915
"Mrpl30",1477,1518,1259,1094,1261,1866,1997,1804
"Lyg1",0,1,0,0,0,2,0,0
"Txndc9",1798,2102,2001,1608,1834,2618,2641,3043
"Eif5b",5493,8409,8243,6064,6595,9839,6923,11643
"Rev1",1390,1562,1774,1349,1539,1777,2286,2828
"Gm37062",8,6,11,9,14,9,15,40
"Aff3",2188,3771,3128,2120,2430,3030,4370,7583
"Gm16152",0,0,1,1,3,3,6,1
"Lonrf2",234,209,258,287,229,256,366,460
"Chst10",241,259,346,253,286,242,377,390
"Gm6621",0,1,0,1,0,0,2,0
"Pdcl3",2343,2394,2488,1966,2133,3001,3151,4054
"Gm37309",17,18,31,29,17,32,28,37
"Gm37821",6,5,1,3,0,3,4,5
"Npas2",3588,4472,6993,5184,5898,5998,5482,8503
"Gm20428",2,1,1,0,0,4,0,4
"Gm3617",3,16,12,16,21,19,12,23
"Rpl31",4820,4938,3759,3251,3777,6721,4433,3487
"Tbc1d8",495,504,692,602,592,510,627,797
"Gm37265",0,0,0,1,0,0,0,0
"Cnot11",1536,1898,1904,1488,1647,2147,2060,2596
"Gm15832",35,101,68,96,60,65,62,74
"Snord89",4,7,7,4,9,5,4,7
"Rnf149",1547,2192,2351,2128,1984,2513,2282,3323
"Gm23722",3,6,2,3,3,3,3,10
"Gm5100",1,2,1,0,0,1,0,1
"Creg2",32,20,23,23,22,23,44,47
"D930019O06Rik",0,1,4,0,0,0,3,0
"Rfx8",4,4,10,2,3,3,6,10
"Gm3646",3,7,0,2,2,0,9,3
"1700066B17Rik",0,2,0,0,0,0,1,1
"Map4k4",15613,21479,25745,22151,22320,24698,24517,35678
"4930456G14Rik",6,0,0,0,1,3,1,2
"Il1r2",926,1068,634,650,1130,2542,1809,1943
"Gm16894",9,13,10,8,12,4,18,29
"Gm37347",0,3,1,0,0,2,1,2
"Il1r1",14919,20349,26033,23131,22948,29709,24768,44299
"Gm38070",41,66,37,64,55,55,79,128
"Il1rl2",9175,9662,12388,10431,10664,14753,14552,17751
"Gm17970",74,82,105,73,102,84,148,193
"Il1rl1",2912,4342,2999,4479,4397,10024,2912,5754
"Il18r1",72,44,51,67,49,72,103,76
"Il18rap",21,19,22,25,30,12,23,14
"Slc9a4",49,61,60,83,44,102,45,93
"Gm37435",0,0,0,0,0,2,0,0
"Slc9a2",6,9,4,10,2,10,16,25
"Mfsd9",382,349,460,379,306,304,497,602
"Tmem182",77,54,72,71,116,107,156,121
"Gm29260",0,2,0,2,0,0,0,1
"Gm5267",0,0,0,1,0,1,1,0
"Pou3f3",0,5,5,0,1,0,0,2
"Mrps9",1070,1229,1099,964,1054,1452,1518,1732
"Gpr45",1,6,5,7,4,4,7,12
"Tgfbrap1",2519,2700,4020,3301,3395,3633,3976,5771
"8430432A02Rik",0,2,0,1,4,4,5,5
"AI597479",1176,945,1278,1103,1154,1190,1563,2189
"Fhl2",1627,1939,2313,2121,2016,2633,2024,3118
"Gm8210",0,1,0,1,0,0,0,0
"Gm29040",0,0,0,0,0,2,0,0
"Nck2",1041,1277,1440,1209,1250,1449,1420,2162
"Gm37536",2,0,0,0,0,0,0,0
"Gm38228",7,22,23,17,21,20,33,34
"Ecrg4",655,597,451,449,334,538,715,519
"Gm29155",12,11,11,16,10,9,12,19
"Gm29157",4,8,4,3,3,0,11,4
"Gm29156",16,25,29,25,28,18,14,29
"Uxs1",2333,3266,3221,2631,2904,3900,3720,5221
"Gm16103",0,0,1,0,0,5,1,0
"Gm19587",4,4,6,1,6,3,8,13
"Tpp2",2876,3404,4291,3417,3442,4448,4102,6601
"Mettl21c",0,0,0,0,0,0,1,0
"Gm8251",4,4,2,18,2,9,15,10
"Tex30",206,263,157,174,154,374,366,229
"Poglut2",1748,2082,2169,2145,2020,2471,2701,3910
"Bivm",914,968,825,827,806,955,1171,1717
"Ercc5",1449,1727,2020,1628,1702,1769,1978,2893
"Gm5700",0,0,0,0,1,0,0,1
"Txn-ps1",10,9,5,5,3,7,3,6
"Gulp1",3140,2611,2497,2507,2529,2541,5208,5321
"Gm37626",29,17,5,5,14,3,28,31
"Gm16102",2,8,3,3,0,1,9,4
"4930521E06Rik",0,0,0,0,0,2,0,1
"Gm38110",2,3,4,3,6,0,7,1
"Gm3489",0,2,0,1,0,0,0,0
"Gm19480",0,0,0,1,1,0,0,1
"Gm5268",0,0,0,0,0,0,0,1
"Col3a1",2407115,3601904,4509810,4209476,4121692,4721976,3462542,7450088
"Col5a2",219191,306048,365003,351482,303760,355759,296391,629340
"Gm38211",162,151,94,92,115,98,160,207
"Gm8296",0,0,0,0,1,0,0,2
"Gm7063",15,11,10,6,11,10,4,8
"Gm8304",0,0,0,0,1,1,0,0
"Gm8307",38,82,86,59,48,71,38,168
"Wdr75",1817,2301,2286,1916,2061,2912,2382,3863
"Gm5526",90,109,79,52,68,170,109,65
"Gm5269",0,0,1,0,0,1,0,0
"Slc40a1",743,727,779,771,706,576,1350,1194
"Rpl23a-ps1",0,1,1,0,1,1,0,0
"Gm3852",0,0,0,1,0,1,0,0
"Dnah7b",233,273,362,314,308,193,407,503
"Gm8326",4,14,6,10,7,10,10,8
"Dnah7c",26,20,15,20,23,23,45,44
"Slc39a10",1671,1950,2748,1845,2504,2858,2878,4551
"Gm28151",11,33,10,24,20,25,11,13
"Gm28527",0,0,0,0,0,0,0,1
"Gm28826",0,1,0,0,0,0,0,0
"Gm4852",2,0,1,1,1,0,1,5
"Gm38090",3,1,0,2,0,0,3,1
"Gm37196",0,0,0,0,3,0,0,0
"Gm8337",2,7,11,8,15,16,18,6
"Gm5974",0,0,1,1,0,0,0,1
"Gm8357",0,2,0,0,0,2,0,0
"Gm28321",0,9,0,0,3,6,0,3
"Tmeff2",7853,4890,8327,6108,6574,9085,10464,10121
"Gm28320",11,9,8,10,18,4,13,36
"Gm29325",14,11,4,4,9,9,14,4
"9330175M20Rik",0,0,5,3,0,0,4,0
"Cavin2",2205,1639,1930,1677,1376,1153,3001,2352
"1700072G22Rik",0,5,8,4,4,4,3,1
"Nabp1",629,1028,943,1078,825,1268,1412,854
"Gm28055",3,7,2,1,5,0,2,2
"Myo1b",3282,4885,5317,5628,4494,4814,5077,7896
"Gm29453",1,5,1,0,2,0,5,2
"Gm28323",6,3,0,2,3,0,0,3
"Gm8420",0,0,1,1,1,3,1,2
"Stat4",2,2,2,1,0,2,1,2
"Gm28177",0,1,2,1,3,0,0,1
"Gm3940",1,1,0,0,0,0,0,0
"Gm31812",6,7,9,5,1,4,1,3
"Stat1",2007,2053,2157,2029,1657,3119,1977,2995
"Gls",7306,7862,9883,9998,8895,10157,12419,16106
"Nab1",3862,5135,5640,5453,5081,5838,6353,9299
"Gm5976",0,0,0,0,1,0,1,0
"Rps27a-ps1",3,6,0,5,4,2,1,10
"Gm53065",13,1,0,0,7,6,3,6
"Gm28178",0,0,0,0,1,0,2,0
"Gm5527",3,4,3,3,0,2,5,3
"Nemp2",348,344,379,361,324,256,460,544
"Gm37242",0,0,2,4,1,1,0,3
"Mfsd6",1551,1335,1920,1582,1523,1517,2251,2603
"Gm29670",0,1,0,0,0,0,0,0
"Inpp1",1960,1745,2121,1762,1614,1869,2763,2798
"Hibch",619,749,670,530,574,825,959,1192
"Gm16107",0,0,1,0,0,0,0,1
"1700019D03Rik",2824,1789,2457,1950,1778,2291,3548,3312
"Mstn",259,180,87,102,23,36,172,103
"1700019A02Rik",1,0,3,0,4,0,0,1
"Pms1",167,189,184,156,151,184,296,322
"Ormdl1",342,306,236,225,272,421,429,371
"Osgepl1",253,231,263,193,263,258,302,335
"Gm18800",0,4,0,0,3,0,0,0
"Asnsd1",169,149,143,117,128,272,142,120
"Dnah7a",0,5,11,4,9,5,5,7
"Stk17b",2303,2708,3308,2900,2319,2683,4144,3886
"Gm37863",1,0,0,0,0,0,0,0
"Hecw2",866,571,947,793,723,604,1434,1165
"Gm24251",0,0,0,0,6,0,0,1
"Gm37633",2,0,2,3,3,0,3,0
"Ccdc150",1,2,0,1,4,2,1,5
"Gtf3c3",1008,1131,1269,1111,965,1310,1565,2100
"Gm34066",0,1,0,0,0,4,0,0
"Pgap1",1348,1331,1692,1616,1278,1256,1903,2674
"Gm36955",3,1,2,1,3,3,1,1
"Ankrd44",1465,1670,2225,2034,1790,1599,2388,2811
"Gm37370",2,8,1,6,2,1,3,3
"A130048G24Rik",4,6,0,5,2,2,1,3
"Sf3b1",16333,20502,21123,21638,18745,24056,26172,32362
"E330011M16Rik",47,43,54,47,52,100,78,108
"Coq10b",3671,5085,4888,5140,4493,7561,8815,5352
"Gm17971",373,509,549,493,448,494,870,642
"Hspd1",4351,6119,6673,5431,5533,8899,5473,10275
"Hspe1",1830,2257,1419,1397,1691,3317,2745,3180
"Gm5147",1,0,2,0,0,1,1,0
"Gm16581",2,0,2,0,1,3,0,1
"Mob4",2249,2271,1932,1857,2046,2622,3189,3803
"Gm6822",0,0,0,0,0,0,0,5
"Rftn2",2515,2611,2862,2444,2498,2537,3388,3957
"Gm10561",204,204,226,212,247,229,274,300
"Mars2",186,231,220,184,222,223,247,417
"Gm8292",261,242,124,100,141,287,278,217
"Plcl1",646,913,1211,1121,994,977,1299,1907
"Gm38056",6,15,2,21,12,3,7,24
"Gm6644",0,7,9,11,6,13,3,4
"Gm37382",5,9,4,3,1,7,4,11
"Satb2",125,263,305,310,241,218,217,388
"9130024F11Rik",4,6,6,11,3,3,2,7
"BC055402",2,0,0,0,0,0,0,0
"4930558J18Rik",0,2,3,5,2,5,2,7
"1700066M21Rik",338,401,397,368,386,513,574,756
"Tyw5",329,417,294,259,336,380,406,467
"Maip1",486,621,438,421,453,711,666,833
"Spats2l",1632,1904,2319,1988,1927,2176,2561,3228
"Gm17234",0,0,0,0,0,0,0,1
"Kctd18",729,823,867,700,791,766,838,1187
"Sgo2a",65,101,80,95,54,66,86,165
"Aox1",1781,1440,1588,1706,1414,1587,2433,2597
"Aox3",1050,601,667,785,759,753,1279,1550
"Aox4",2,6,0,0,0,1,4,2
"Gm15759",0,3,0,0,0,0,0,0
"Aox2",2,4,4,1,6,6,0,11
"Gm37607",34,30,25,29,33,34,63,83
"Bzw1",12810,16004,14331,13853,13877,20812,20542,25178
"Clk1",10685,13961,12131,14328,13074,16124,21218,19193
"Ppil3",838,1002,808,676,768,1186,1013,1299
"Nif3l1",1010,1004,970,878,955,1316,1313,1666
"Orc2",1024,1342,1273,1072,1146,1529,1505,2095
"Gm15834",10,0,0,5,4,0,7,15
"Fam126b",487,684,729,741,665,642,1132,1337
"Ndufb3",1096,1139,797,778,935,1415,1370,1394
"Cbx3-ps7",14,10,5,6,8,10,7,22
"Flacc1",9,2,4,6,1,19,1,3
"Gm20257",39,69,45,37,46,60,84,63
"Cflar",4350,5026,6864,5853,5566,6308,7166,11028
"Gm3841",0,0,0,0,0,0,0,1
"Casp8",1745,2041,2222,1866,2005,2821,2572,3626
"Gm37760",8,16,10,6,16,5,15,22
"Gm28802",24,24,18,22,13,31,23,35
"Trak2",4560,5602,7282,6797,6208,6800,7654,11030
"Stradb",528,473,552,494,610,496,680,781
"C2cd6",0,0,0,0,0,0,1,0
