"","NEG1","NEG2","NEG3","NEG4","POS1","POS2","POS3","POS4"
"Marchf3",615,495,881,710,721,1065,878,1378
"Gm15345",1,0,0,0,1,0,0,3
"Gm18087",35,10,6,13,10,8,15,29
"C330018D20Rik",364,338,285,246,344,401,634,484
"Megf10",235,238,163,285,93,104,287,298
"Prrc1",7227,8474,11904,9716,9763,11068,9931,17388
"4930511M06Rik",21,28,31,25,21,14,24,45
"Gm19500",2,5,13,8,9,6,6,4
"Ctxn3",10,5,2,5,3,7,7,14
"Ccdc192",0,0,0,1,0,0,0,0
"2210409D07Rik",0,3,0,0,0,0,1,0
"Slc12a2",1648,2250,2268,2454,2986,3298,2618,4878
"Fbn2",6148,8002,12260,12146,9665,9447,11907,18294
"Slc27a6",97,140,137,118,122,212,168,327
"Isoc1",3004,2911,3615,3116,3181,3566,4466,5335
"Adamts19",971,1159,1634,1547,1076,1670,1155,2939
"Minar2",10,9,9,11,10,27,23,32
"Chsy3",469,626,851,845,638,718,669,1277
"Gm8697",2,1,0,0,0,1,1,0
"Gm4951",748,425,675,633,549,827,797,1620
"Gm5970",137,105,198,102,208,111,162,314
"Gm4841",326,276,340,282,421,412,690,478
"F830016B08Rik",364,492,448,629,462,552,872,1236
"Iigp1",6014,5837,7388,7793,7121,9471,12568,11205
"Gm6960",1,0,0,0,3,0,0,1
"BC023105",165,202,225,298,308,282,435,411
"Smim3",1523,2134,1718,1582,1740,2821,1995,2342
"Dctn4",3307,3534,3865,3386,3625,4261,4494,6222
"Rbm22",2662,2969,3125,3057,3001,3965,3728,4656
"Myoz3",10,19,9,17,16,11,19,15
"Synpo",5644,10639,11099,9913,9382,11215,9376,20926
"Ndst1",10342,14722,17006,13753,14087,14484,16058,23309
"Rps14",17409,19901,11178,10531,12337,22220,26555,17483
"Gm8731",1,1,0,0,1,0,1,1
"Cd74",90,118,314,327,489,324,1184,290
"Tcof1",2240,3665,4019,2979,3068,4492,3348,5813
"Arsi",13969,20378,23447,19137,22780,33496,20625,43386
"Camk2a",128,154,302,240,257,294,247,386
"Slc6a7",153,480,432,200,560,369,492,574
"Cdx1",0,0,2,0,0,0,1,0
"Pdgfrb",26697,37389,48242,41573,47543,44433,47802,70631
"Csf1r",133,256,439,319,582,344,687,530
"Hmgxb3",1782,2198,2851,2266,2582,2782,2725,4054
"Gm26403",0,6,5,3,2,2,6,9
"Slc26a2",2036,2713,3045,2831,2314,2523,2972,4903
"Pde6a",4,2,3,6,4,6,2,14
"Rps2-ps10",0,1,0,1,0,1,1,1
"Ppargc1b",75,154,138,150,114,136,131,221
"Mir378a",0,1,0,0,0,0,0,2
"Lncbate10",0,0,4,0,0,0,0,0
"Arhgef37",6,3,1,1,12,3,14,10
"Csnk1a1",15831,18933,21872,18672,19164,25525,22266,34226
"Bvht",188,182,117,145,153,229,238,191
"Mir145a",9,23,10,12,18,11,27,15
"Mir143",2,6,10,3,4,2,1,13
"Carmn",81,160,121,153,163,115,172,249
"Il17b",1,1,0,6,23,12,0,4
"Pcyox1l",289,333,314,263,291,418,359,472
"Grpel2",648,563,721,539,642,712,775,1178
"1500015A07Rik",31,22,38,17,28,44,26,40
"Afap1l1",40,55,22,45,30,44,72,44
"Ablim3",251,257,258,241,250,273,280,347
"Sh3tc2",29,44,13,17,30,42,43,37
"Adrb2",148,176,99,148,110,146,219,145
"Gm9949",5,12,10,5,4,6,4,17
"Htr4",1,0,0,0,2,0,0,0
"Fbxo38",2892,3414,4046,3287,3363,3767,4019,5764
"Spink10",1,0,2,3,1,1,1,7
"Spink7",0,0,0,2,0,0,0,0
"Spink13",10,13,1,6,4,2,5,5
"2700046A07Rik",2,5,4,0,3,0,0,0
"Gm50128",7,5,5,2,3,1,6,4
"Apcdd1",4358,7677,4273,3991,3730,6795,6957,9726
"Napg",1754,2085,2398,2166,2025,2516,2692,3745
"Piezo2",4520,6622,7039,6592,4780,3596,6134,7968
"Gm50171",9,2,0,4,1,3,7,1
"Gm6789",35,26,29,23,22,33,50,57
"Txnl1",3123,3299,3174,2843,2926,4716,4653,5606
"Wdr7",2090,2302,3664,2882,2679,2692,3438,4944
"Gm50106",0,0,0,0,0,1,0,0
"Gm6974",7,3,2,3,3,4,6,4
"St8sia3os",0,1,0,1,0,0,4,4
"St8sia3",2,0,0,1,0,3,0,3
"Rps15-ps3",31,28,20,10,9,36,25,14
"Onecut2",0,6,4,1,3,0,7,10
"Amd-ps3",0,0,1,0,0,0,2,3
"Fech",4408,4302,5772,5067,4814,5505,6688,8785
"Nars",6689,9402,10020,7863,7999,11230,9058,14912
"Atp8b1",4905,8256,10022,7883,6914,8559,8274,15540
